,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,營業毛利（毛損）,生物資產當期公允價值減出售成本之變動利益（損失）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）
1539,8436,大江生醫,2895532,1709837,,1185695,,,,1185695,557121,,628574,52846,681420,116592,564828,,,564828,5767,,570595,557474,,7354,563202,,7393,5.58
1540,8437,大地-KY,437796,56439,,381357,,,,381357,82968,,298389,10678,309067,76381,232686,,,232686,11756,,244442,232686,,,244442,,,6.49
1541,8440,綠電再生,361926,326259,,35667,,,,35667,21048,,14619,1097,15716,3147,12569,,,12569,1890,,14459,12569,,,14459,,,0.35
1542,8442,威宏-KY,2880523,2563920,,316603,,,,316603,392870,,-76267,30115,-46152,292,-46444,,,-46444,6528,,-39916,-46444,,,-39916,,,-0.93
1543,8443,阿瘦,848420,325453,,522967,,,,522967,514595,,8372,4266,12638,-2314,14952,,,14952,730,,15682,15842,,-890,16572,,-890,0.24
1544,8444,綠河-KY,1627299,1410765,,216534,,,,216534,246924,,-30390,84134,53744,10905,42839,,,42839,-37142,,5697,45223,,-2384,8110,,-2413,0.6
1545,8446,華研音樂,854651,424690,,429961,,,,429961,201483,,228478,66661,295139,46593,248546,,,248546,392,,248938,249095,,-549,249408,,-470,4.58
1546,8450,霹靂,339233,160547,,178686,,,,178686,133608,,45078,18389,63467,10502,52965,,,52965,3188,,56153,53655,,-690,56843,,-690,1.05
1547,8454,富邦媒,19814161,17743828,,2070333,,,,2070333,1355267,5723,720789,-3733,717056,-9302,726358,,,726358,-14011,,712347,729316,,-2958,715412,,-3065,5.21
1548,8455,大拓-KY,1199564,1061896,,137668,,,,137668,103626,,34042,29067,63109,20647,42462,,,42462,7813,,50275,48697,,-6235,56510,,-6235,1.93
1549,8462,柏文,1359328,938284,,421044,,,,421044,202788,,218256,-252,218004,42535,175469,,,175469,-8403,,167066,169224,,6245,160821,,6245,2.92
1550,8463,潤泰精材,1260409,1115464,,144945,,,,144945,90488,,54457,-7850,46607,9582,37025,,,37025,13217,,50242,37025,,,50242,,,0.25
1551,8464,億豐,10241649,5716213,,4525436,,,,4525436,2451780,,2073656,97451,2171107,557262,1613845,,,1613845,86737,,1700582,1582852,,30993,1669988,,30594,5.4
1552,8466,美吉吉-KY,1425852,1138759,,287093,,,,287093,183986,,103107,28102,131209,21189,110020,0,,110020,-9145,,100875,110020,,,100875,,,1.67
1553,8467,波力-KY,782274,600989,,181285,,,,181285,157185,,24100,8147,32247,5677,26570,,,26570,-2965,,23605,26570,,0,23605,,0,0.54
1554,8472,夠麻吉,213911,14435,,199476,,,,199476,200225,,-749,6695,5946,2468,3478,,,3478,,,3478,3478,,,3478,,,0.17
1555,8473,山林水,2066312,1607430,,458882,,,,458882,80137,,378745,-18482,360263,107281,252982,,,252982,-2117,,250865,191575,,61407,189458,,61407,1.45
1556,8476,台境,178773,292766,,-113993,,,,-113993,60660,0,-174653,-6828,-181481,-32644,-148837,,,-148837,0,,-148837,-146341,,-2496,-146341,,-2496,-3.93
1557,8477,創業家,2448682,2076625,,372057,,,,372057,341317,,30740,7438,38178,5547,32631,,,32631,,,32631,32631,,,32631,,,1.58
1558,8478,東哥遊艇,1571752,1110015,,461737,,,,461737,389953,,71784,69147,140931,14555,126376,,,126376,24401,,150777,126376,,,150777,,,1.34
1559,8480,泰昇-KY,805432,549844,,255588,,,,255588,114066,,141522,27333,168855,26466,142389,,,142389,21758,,164147,142389,,,164147,,,3.63
1560,8481,政伸,526046,291763,,234283,,,,234283,121322,,112961,9194,122155,24917,97238,,,97238,5363,,102601,97238,,,102601,,,1.46
1561,8482,商億-KY,2079739,1272702,,807037,,,,807037,359228,,447809,23684,471493,36402,435091,,,435091,29066,,464157,434904,,187,463523,,634,4.35
1562,8488,吉源-KY,1543238,1452255,,90983,,,,90983,175227,,-84244,-45404,-129648,-12005,-117643,,,-117643,31614,,-86029,-117643,,,-86029,,,-1.74
1563,8489,三貝德,760646,194881,,565765,,,,565765,296945,,268820,3225,272045,56886,215159,,,215159,10,,215169,189990,,25169,190000,,25169,5.27
1564,8497,聯廣,1232032,893856,,338176,,,,338176,248513,,89663,8145,97808,19039,78769,,,78769,578,,79347,61053,,17716,61500,,17847,1.81
1565,8499,鼎炫-KY,659838,393489,,266349,,,,266349,116131,,150218,23076,173294,38905,134389,,,134389,8475,,142864,133888,,501,142286,,578,2.59
1566,8905,裕國冷凍,1437459,1196927,,240532,,,,240532,73085,,167447,11811,179258,41010,138248,,,138248,1464,,139712,138241,,7,139703,,9,1.2
1567,8906,花王企業,81969,68068,,13901,,,,13901,15085,,-1184,537,-647,,-647,,,-647,0,,-647,-647,,,-647,,,-0.01
1568,8908,欣雄,3407676,3124301,,283375,,,,283375,70594,,212781,-744,212037,42608,169429,,,169429,,,169429,,,,,,,1.1
1569,8913,全銓,9148,2836,,6312,,,,6312,12913,1409,-5192,9847,4655,1493,3162,,,3162,3158,,6320,3162,,,6320,,,0.04
1570,8916,光隆,4475119,3910267,,564852,,0,0,564852,458959,,105893,174298,280191,47244,232947,,,232947,43320,,276267,223740,,9207,266969,,9298,2.07
1571,8917,欣泰,996211,778053,,218158,,,,218158,45948,,172210,6897,179107,34116,144991,,,144991,1642,,146633,144991,,,146633,,,1.19
1572,8921,沈氏藝印,235059,205010,,30049,,,,30049,33327,,-3278,6619,3341,17,3324,,,3324,15287,,18611,,,,,,,0.07
1573,8923,時報文化,215849,112310,,103539,,,,103539,92475,,11064,6453,17517,-632,18149,,,18149,-350,,17799,18149,,,17799,,,0.6
1574,8924,大田精密,1913009,1644088,,268921,,,,268921,215297,0,53624,-120629,-67005,14404,-81409,0,,-81409,68916,,-12493,-81324,,-85,-16987,,4494,-0.69
1575,8926,台汽電,1786662,1591212,,195450,,,15938,211388,97599,,113789,337256,451045,12700,438345,,,438345,-17871,,420474,438788,,-443,420917,,-443,0.74
1576,8927,北基,2543316,2197770,,345546,,,,345546,276917,,68629,3991,72620,11842,60778,,,60778,-1510,,59268,60345,,433,58835,,433,0.31
1577,8928,鉅明,1044456,841305,,203151,,,,203151,95384,,107767,12692,120459,33593,86866,,,86866,-6785,,80081,86866,,,80081,,,1.71
1578,8929,富堡,784813,628796,,156017,,,,156017,116016,,40001,8110,48111,26703,21408,,,21408,9458,,30866,21061,,347,30070,,796,0.43
1579,8930,青鋼,564292,475847,,88445,,,,88445,57712,,30733,13204,43937,6481,37456,0,,37456,545,,38001,37456,,,38001,,,0.56
1580,8931,大園汽電,849289,723599,,125690,,,,125690,57648,,68042,-580,67462,14150,53312,,,53312,-55521,,-2209,53312,,,-2209,,,0.46
